name,categ_id,list_price,standard_price,type,company_id,image_1920
"Bordado a Branco - Toalha Tradicional","Têxteis / Bordados",0.00,0.00,product,"AÇORBORDADOS DE J. H. TOSTE, LDA.","https://artesanato.azores.gov.pt/assets/thumbnails/800x600/M-AnBa64HtG0pCDEf2VdrO3LFFXqz2jt.jpg"
"Bordado a Branco - Detalhe Renda","Têxteis / Bordados",0.00,0.00,product,"AÇORBORDADOS DE J. H. TOSTE, LDA.","https://artesanato.azores.gov.pt/assets/thumbnails/800x600/fzUr43zh1LzbnJN_P3yCv_6rr2GgmOTA.jpg"
"Bordado a Branco - Peça de Enxoval","Têxteis / Bordados",0.00,0.00,product,"AÇORBORDADOS DE J. H. TOSTE, LDA.","https://artesanato.azores.gov.pt/assets/thumbnails/803x816/GpBzT5R5nX7YaPAulsCtnCul4WV4f18n.jpg"
"Bordado a Branco - Almofada","Têxteis / Bordados",0.00,0.00,product,"AÇORBORDADOS DE J. H. TOSTE, LDA.","https://artesanato.azores.gov.pt/assets/thumbnails/800x747/Uc1XxRH2GcJfNVsinWeTGNUtZ3xuKTGf.jpg"
"Bordado a Branco - Caminho de Mesa","Têxteis / Bordados",0.00,0.00,product,"AÇORBORDADOS DE J. H. TOSTE, LDA.","https://artesanato.azores.gov.pt/assets/thumbnails/800x834/ZXisf7S91uDBJlPyUZO1c1Tpv2MLAlme.jpg"
