name,categ_id,list_price,standard_price,type,company_id,image_1920
"Alguidar Terceirense Tradicional","Cerâmica / Olaria",25.00,10.00,product,"RICARDO JORGE MACHADO SIMAS","https://artesanato.azores.gov.pt/assets/thumbnails/1200x1664/alduOfFVHRrwPnqPNmvsKl02AkrYSpuM.jpg"
"Talha de Barro para Líquidos","Cerâmica / Olaria",45.00,15.00,product,"RICARDO JORGE MACHADO SIMAS","https://artesanato.azores.gov.pt/assets/thumbnails/1200x797/ORDT_NuCqOBH3isbWC-YSKMJ25Li1n0W.jpg"
"Sertã para Bolos Lêvedos","Cerâmica / Olaria",18.00,7.00,product,"RICARDO JORGE MACHADO SIMAS","https://artesanato.azores.gov.pt/assets/thumbnails/1200x797/T5ZkELaBXURxBOw5U-_6-9F4VuYVz26D.jpg"
"Bilhe de Barro Tradicional","Cerâmica / Olaria",30.00,12.00,product,"RICARDO JORGE MACHADO SIMAS","https://artesanato.azores.gov.pt/assets/thumbnails/1200x797/h6ygrKE-XCKELQ-Cyl3cPlncxpLTpECa.jpg"
"Talhão para Cereais","Cerâmica / Olaria",120.00,40.00,product,"RICARDO JORGE MACHADO SIMAS","https://artesanato.azores.gov.pt/assets/thumbnails/1200x797/zJYPTyUWVnoqdcDc5MdkinECVLDCpPNY.jpg"
